+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Once Fallen                                                                                                          | 4.8    |
| Calavera Highway                                                                                                     | 7.6    |
| Consent                                                                                                              | 5.7    |
| Çiglik Çigliga Bir Sevda                                                                                             | 5.0    |
| With Great Power: The Stan Lee Story                                                                                 | 7.1    |
| Shanghai                                                                                                             | 6.4    |
| Louis                                                                                                                | 6.5    |
| The Rig                                                                                                              | 3.2    |
| The Quiet Ones                                                                                                       | 5.1    |
| The Hammer                                                                                                           | 7.0    |
| Forgotten Pills                                                                                                      | 7.2    |
| Love in Transit                                                                                                      | 6.0    |
| Morning                                                                                                              | 7.7    |
| Andy Paris: Bubblegum King                                                                                           | 7.7    |
| Do Elephants Pray?                                                                                                   | 5.4    |
| Bereavement                                                                                                          | 5.1    |
| Broken Sun                                                                                                           | 5.7    |
| Les princes de la nuit                                                                                               | 3.5    |
| Killers                                                                                                              | 5.5    |
| Something Like a Business                                                                                            | 3.6    |
| Cornhole: The Movie                                                                                                  | 7.8    |
| Night Things                                                                                                         | 5.5    |
| Peep World                                                                                                           | 5.6    |
| Red Dirt Rising                                                                                                      | 3.8    |
| TRON: Legacy                                                                                                         | 6.8    |
| Eva                                                                                                                  | 5.2    |
| Ca$h                                                                                                                 | 6.0    |
| Dirty Girl                                                                                                           | 6.4    |
| You Have the Right to Remain Violent                                                                                 | 7.6    |
| Nirahua Rickshawwala                                                                                                 | 5.1    |
| Arnaldo Antunes - Ao Vivo Lá em Casa                                                                                 | 7.8    |
| Mars                                                                                                                 | 6.0    |
| A Day of Violence                                                                                                    | 3.7    |
| Kalamity                                                                                                             | 4.5    |
| Trance                                                                                                               | 3.7    |
| The Elephant in the Living Room                                                                                      | 7.4    |
| Code Blue                                                                                                            | 4.6    |
| Voices Unbound: The Story of the Freedom Writers                                                                     | 7.8    |
| He Ain't Like That                                                                                                   | 6.2    |
| Seres: Genesis                                                                                                       | 3.8    |
| Carmen's Kiss                                                                                                        | 3.2    |
| Jackass 3D                                                                                                           | 7.0    |
| A Fork in the Road                                                                                                   | 6.0    |
| Kluge                                                                                                                | 3.8    |
| The Justice of Wolves                                                                                                | 6.0    |
| Chronicles of Agony                                                                                                  | 7.9    |
